,open,high,low,close,VWAP,Upper_Band_#1,Lower_Band_#1,Upper_Band_#2,Lower_Band_#2,Upper_Band_#3,Lower_Band_#3,Volume,RSI,RSI-based_MA,Histogram,MACD,Signal,ATR,MACD_Signal_Diff,Steps_Since_Crossover
PC1,0.3017277425410214,0.30164406004008926,0.3017764450147577,0.30170268553513113,0.3025240559790802,0.3020831673381201,0.30154943919081584,0.30016990289848633,0.2992704675250244,0.2967899061122393,0.29583919179901047,-0.015807728088850403,0.001100117518191248,0.0024645588438359555,-0.001829950176692144,-0.0026903358222854314,-0.0023323431502607923,-0.0809259316675563,-0.0018299501781918529,-0.008670594854169319
PC2,0.02526886122264176,0.02608283749600368,0.026183646538727803,0.026545406221357357,-0.013657544539599645,-0.010096960186773335,-0.01708645063153292,-0.006451875847025754,-0.020344504083732604,-0.0027745629204617255,-0.023402310863320626,-0.026624480601605507,0.46088273254869333,0.4503785501662201,0.32161667743097644,0.46134756523149517,0.39797815666750924,0.02771465838643865,0.32161667742549704,-0.029430461786737354
PC3,-0.010007924827641844,-0.006526932541750512,-0.011433882148176922,-0.00802459105626884,0.018168964719549593,0.020399449123236102,0.015896670261070462,0.02255299807379206,0.013617411053682832,0.024596793305479057,0.011363431387776974,0.2636406256501206,0.0943974663646827,-0.2145741055094521,0.5228942287601898,-0.2647349569834671,-0.4076740033579667,0.28489238305862974,0.52289422876405,-0.0921549851246303
PC4,0.030329608418700738,0.035056281009334236,0.024300956502292637,0.029732444734573035,0.0094716562895517,0.034817073955192124,-0.015432658855156286,0.06024552194513321,-0.03957587580008243,0.08538462164732749,-0.0626935423434134,0.6551476035356478,-0.049503407052526614,0.08753633421893253,-0.22730894990678335,0.11215046686636208,0.17417257494603391,0.6065971164470241,-0.2273089499265842,-0.1577198495344077
PC5,0.01109033191767194,0.012212871093691196,0.009913823365002017,0.011199931759187945,0.004346457890439414,0.010058913128132898,-0.0012768666784134925,0.015779334233278087,-0.0067380856324418354,0.021423786829885525,-0.01197645121627785,0.09838010564719234,-0.02993457887524685,-0.05152950164377284,0.03893655807528754,0.04773174483553891,0.039740518034089165,0.15263929783562896,0.03893655807531786,0.9772753514698832
PC6,-0.016932966753666397,-0.013612826903554111,-0.014645970504392187,-0.011864119045146662,-0.0035216284499609593,-0.012475753958179016,0.005277478729239923,-0.021458360086509403,0.013808450559046526,-0.03033789120348061,0.021977769608436375,0.372667107108278,0.533359373932719,0.39669503692396835,-0.17095861194653456,-0.3511879547095345,-0.321670338713202,-0.3477461751242891,-0.170958611902656,0.10008212507216306
PC7,0.002820484944610075,0.003347749513177292,0.008291978128244792,0.008150722800931388,0.012711228813792021,0.04815418419262223,-0.02211240679997323,0.08371584345638326,-0.05586944751197074,0.1188754748093517,-0.08819036061996927,-0.5884137773068461,0.36206813648102903,0.14050148106179017,-0.14445090691694926,-0.21276668817796385,-0.1845235054723805,0.5887635272462468,-0.14445090687857304,0.008924597795996567
PC8,-0.04098290237078685,-0.04996110295667485,-0.04989557406968096,-0.057744461317372625,0.03267682646417603,0.005848715178755304,0.05883941783723849,-0.021274798954943015,0.08401423961508668,-0.048299671181510566,0.10794346956280497,-0.06691135255908787,-0.5790168635068991,0.7431132170132141,0.09682248598898417,-0.1298576398169584,-0.1595044019241892,0.10204094488493419,0.09682248596037331,0.022791782584576856
PC9,-0.11971323962835323,-0.11541025495834545,-0.11838723064331942,-0.1141141991644549,0.0822247161939854,-0.09353238567753815,0.25423508279264523,-0.270584013912434,0.4203367449360219,-0.44634832714125594,0.5787724119865587,-0.0180142648940971,0.15075595423603433,-0.10054232941172096,-0.053695396815495525,0.039904241031732,0.055082703628123196,0.19367139228941171,-0.053695396794545054,0.0013537522082020007
PC10,-0.3759079668603014,-0.37680926881033827,-0.3742081678835936,-0.37416245139924115,0.2131109394822618,0.2743107745941509,0.1520913794925275,0.3347866149555165,0.09209812259229681,0.3936387785503874,0.03386817930661936,0.02560331537000888,0.040558076791440634,-0.03614970224513728,-0.00039820565820395017,0.06140056944696741,0.06391630191157999,-0.06893873858079326,-0.00039820544949504925,0.0024615319288760025
